None,region_id,region_type,region,zip,state,city,county,community
1157,98425,zip,95816; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sacramento,95816,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento
1159,98423,zip,95814; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Sacramento,95814,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento
1161,98418,zip,95776; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Woodland,95776,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Woodland
1167,98410,zip,95746; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Granite Bay,95746,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Granite Bay
1168,98408,zip,95742; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Rancho Cordova,95742,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Rancho Cordova
1169,98406,zip,95736; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Colfax,95736,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Colfax
1170,98405,zip,95735; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Twin Bridges,95735,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Twin Bridges
1171,98404,zip,95728; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Soda Springs,95728,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Soda Springs
1172,98403,zip,95726; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Pollock Pines,95726,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Pollock Pines
1173,98402,zip,95724; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Soda Springs,95724,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Soda Springs
1174,98401,zip,95722; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Meadow Vista,95722,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Meadow Vista
1175,98400,zip,95721; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Twin Bridges,95721,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Twin Bridges
1178,98399,zip,95720; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Kyburz,95720,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Kyburz
1179,98398,zip,95717; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Gold Run,95717,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Gold Run
1180,98397,zip,95715; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Soda Springs,95715,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Soda Springs
1181,98396,zip,95714; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Dutch Flat,95714,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Dutch Flat
1182,98395,zip,95713; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Colfax,95713,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Colfax
1183,98393,zip,95709; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Camino,95709,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Camino
1184,98392,zip,95703; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Applegate,95703,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Applegate
1185,98391,zip,95701; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Alta,95701,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Alta
1186,98390,zip,95699; CA; Amador County; Plymouth,95699,CA,Amador County,Plymouth,
1188,98389,zip,95698; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Woodland,95698,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Woodland
1189,98388,zip,95697; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Yolo,95697,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Yolo
1190,98386,zip,95695; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Woodland,95695,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Woodland
1191,98385,zip,95694; CA; Sacramento--Roseville--Arden-Arcade; Yolo County; Winters,95694,CA,Sacramento--Roseville--Arden-Arcade,Yolo County,Winters
1192,98384,zip,95693; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Wilton,95693,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Wilton
1193,98383,zip,95692; CA; Yuba City; Yuba County; Wheatland,95692,CA,Yuba City,Yuba County,Wheatland
1195,98381,zip,95690; CA; Sacramento--Roseville--Arden-Arcade; Sacramento County; Walnut Grove,95690,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Walnut Grove
1196,98380,zip,95689; CA; Amador County; Volcano,95689,CA,Amador County,Volcano,
1198,98379,zip,95688; CA; Vallejo-Fairfield; Solano County; Vacaville,95688,CA,Vallejo-Fairfield,Solano County,Vacaville
1199,98378,zip,95687; CA; Vallejo-Fairfield; Solano County; Vacaville,95687,CA,Vallejo-Fairfield,Solano County,Vacaville
1200,98377,zip,95686; CA; Stockton-Lodi; San Joaquin County; Thornton,95686,CA,Stockton-Lodi,San Joaquin County,Thornton
1201,98376,zip,95685; CA; Amador County; Sutter Creek,95685,CA,Amador County,Sutter Creek,
